"Longitud"	"Latitud"	"Ho"	"GDP_per_capita_PPP_2015"	"gpw_v4_population_density_2020"	"povmap.grdi.v1"	"travel_time_to_cities_12_MOD"	"travel_time_to_ports_5_MOD"	"CLUSTER"
-61.598649	16.060432	0.58	10613.8603515625	177.722991943359	68.1834411621094	6	21	"3"
173.687126	-35.216652	0.81	34762.3515625	1.45930874347687	66.5686111450195	168	106	"3"
173.634598	-35.278335	0.79	34762.3515625	2.12840247154236	65.9841690063477	56	33	"3"
173.783256	-35.220859	0.79	34762.3515625	4.01028823852539	65.508544921875	71	42	"3"
2.450847	6.364882	0.602	1823.84265136719	16916.017578125	23.0154819488525	0	4	"1"
2.47393	6.379607	0.595	1823.84265136719	1316.39208984375	69.7186431884766	0	9	"3"
2.521823	6.378157	0.603	2586.14184570312	1523.37927246094	70.4808654785156	0	12	"3"
2.441062	6.369665	0.567	1823.84265136719	16916.017578125	23.0154819488525	0	4	"1"
2.413656	6.37273	0.56	1823.84265136719	16916.015625	23.0154819488525	0	6	"1"
2.459612	6.389337	0.554	1823.84265136719	1316.39208984375	69.7186431884766	0	9	"3"
2.390613	6.369503	0.576	1823.84265136719	16916.015625	23.0154819488525	0	6	"1"
2.455139	6.389966	0.592	1823.84265136719	3944.68359375	35.1728630065918	0	3	"1"
2.467155	6.38102	0.618	1823.84265136719	1316.39208984375	69.7186431884766	0	9	"3"
2.422587	6.388142	0.594	1823.84265136719	3944.68359375	35.1728630065918	0	3	"1"
2.399107	6.398746	0.612	1823.84265136719	7668.6923828125	30.9753742218018	0	8	"1"
2.392009	6.368672	0.567	1823.84265136719	16916.015625	23.0154819488525	0	6	"1"
2.429153	6.349635	0.631	1823.84265136719	16916.017578125	23.0154819488525	0	4	"1"
2.438643	6.358623	0.533	1823.84265136719	16916.017578125	23.0154819488525	0	4	"1"
2.405748	6.394065	0.606	1823.84265136719	7668.6923828125	30.9753742218018	0	8	"1"
2.379312	6.389054	0.559	1823.84265136719	7668.6923828125	30.9753742218018	0	8	"1"
2.839901	12.409691	0.474	2607.98022460938	46.3589973449707	93.0933151245117	46	712	"3"
3.200152	13.048454	0.547	897.395324707031	69.7535552978516	95.726432800293	0	628	"3"
5.116971	12.730299	0.617	5101.80712890625	195.260070800781	98.3984222412109	13	507	"3"
3.453265	11.887695	0.493	897.395324707031	140.222564697266	69.1632461547852	0	532	"3"
2.115229	13.501031	0.424	897.395324707031	3694.45361328125	30.0290336608887	0	725	"1"
2.088793	13.517222	0.541	897.395324707031	3694.45361328125	30.0290336608887	0	725	"1"
2.127246	13.48701	0.537	897.395324707031	3694.45385742188	30.0290336608887	0	722	"1"
2.114714	13.526067	0.487	897.395324707031	3694.45361328125	30.0290336608887	0	725	"1"
2.112998	13.49135	0.431	897.395324707031	3694.453125	30.0290336608887	0	726	"1"
2.105101	13.52056	0.502	897.395324707031	3694.45361328125	30.0290336608887	0	725	"1"
-122.413911	37.757971	0.591	55768.4375	8545.7060546875	0.395543038845062	0	4	"1"
47.486554	-19.649714	0.68	1373.34399414062	54.39306640625	83.8704452514648	53	491	"3"
47.401527	-19.598991	0.7	1373.34399414062	80.8979797363281	83.548942565918	41	476	"3"
47.662277	-19.5803	0.64	1373.34399414062	146.227874755859	86.1898803710938	42	549	"3"
48.237305	-18.76096	0.71	1373.34399414062	113.554016113281	86.7801361083984	44	322	"3"
48.853169	-18.134148	0.67	1373.34399414062	19.5818157196045	85.4481430053711	502	684	"3"
47.871636	-18.201198	0.73	1373.34399414062	31.6740894317627	84.0352325439453	255	718	"3"
47.370311	-18.111193	0.73	1373.34399414062	13.3024387359619	84.1157836914062	148	634	"3"
47.627845	-18.099693	0.75	1373.34399414062	33.4812164306641	83.9543228149414	211	739	"3"
47.634759	-18.196597	0.67	1373.34399414062	63.5040588378906	84.115966796875	132	643	"3"
48.184569	-19.769766	0.69	1373.34399414062	30.0132141113281	87.1027069091797	109	539	"3"
48.105379	-19.697671	0.73	1373.34399414062	30.0132122039795	86.9426803588867	195	708	"3"
48.339054	-19.712337	0.7	1373.34399414062	28.8396244049072	85.2897186279297	324	792	"3"
45.148193	-23.701429	0.68	1373.34399414062	13.8279390335083	88.9698867797852	335	678	"3"
45.217729	-23.442245	0.75	1373.34399414062	12.4603643417358	88.8918228149414	15	471	"3"
45.491238	-23.412469	0.7	1373.34399414062	12.2478952407837	91.6973419189453	227	719	"3"
46.303361	-19.501652	0.63	1373.34399414062	29.1520900726318	87.3901519775391	20	562	"3"
10.270487	42.783736	0.71	37364.85546875	32.7968101501465	57.6892509460449	3	14	"3"
-97.715975	30.31339	0.624	49515.24609375	2645.42700195312	22.8706512451172	0	151	"1"
-79.509442	9.010892	0.616	27759.02734375	5289.0078125	9.35196399688721	0	5	"1"
76.906333	10.592626	0.84	7551.84619140625	618.296752929688	60.9454917907715	2	120	"3"
77.259164	9.972693	0.77	7551.84619140625	384.078521728516	71.2350845336914	92	154	"3"
77.203719	9.848563	0.87	7551.84619140625	398.561279296875	68.0257339477539	3	96	"3"
77.168436	9.62501	0.75	7551.84619140625	443.333587646484	60.9812812805176	5	94	"3"
77.365013	9.306815	0.76	7551.84619140625	417.730865478516	73.0595474243164	41	140	"3"
76.87105	8.968416	0.77	8232.681640625	549.328308105469	33.8858604431152	0	28	"3"
-90.345167	-0.614563	0.212	38738.45703125	2.10125970840454	68.3910522460938	42	3365	"2"
-89.503617	-0.872726	0.338	38738.45703125	1.64096236228943	73.1420974731445	88	3149	"2"
-90.283463	-0.393962	0.358	38738.45703125	2.09855222702026	65.1520843505859	54	3407	"2"
